C#-keyword;CH-schlüssuwort
abstract;abstrakt
break;brich
char;zeichä
continue;fahrfort
do;mach
event;ereignis
finally;schlussändlech
foreach;fürjedes
in;in
internal;innerhaub
namespace;namensruum
operator;operator
params;söuwärtiigabene
readonly;numeläsä
sealed;vrschlossä
static;statisch
this;dises
typeof;typvo
unsafe;unsicher
void;garnüt
as;aus
byte;biss
checked;kontrolliert
decimal;dezimau
double;dopplet
explicit;usdrücklich
fixed;fixiert
goto;gangzu
in (generic modifier);in
is;isch
new;nöi
out;duss
private;privat
ref;verwiis
short;churz
string;fade
throw;wirf
uint;unsigniertiganzzau
ushort;unsigniertechurze
volatile;unbeständig
base;basis
case;fau
class;klass
default;standart
else;schüsch
extern;usserhaub
float;fliessend
if;faus
int;ganzzau
lock;schliess
null;nüt
out (generic modifier);duss
protected;bschützt
return;gibzrügg
sizeof;grössivo
struct;struktur
TRUE;richtig
ulong;unsigniertelange
using;benützend
while;während
bool;entwederodr
catch;fang
const;konstant
delegate;delegier
enum;enumerierig
FALSE;fautsch
for;für
implicit;härgleitet
interface;schnittsteu
long;lang
object;objekt
override;überschrib
public;öffentlich
sbyte;signiertebiss
stackalloc;stapuzuewiisig
switch;jenachdäm
try;vrsuech
unchecked;unkontrolliert
using static;benützend statisch
add;füeghinzue
and;und
alias;odroh
ascending;ufstiigend
args;argument
async;asynchron
await;wartab
by;bi
descending;abstiigend
dynamic;dynamisch
equals;entspricht
from;vo
get;bechum
global;wäutwiit
group;gruppier
init;fangmauah
into;i
join;trittbii
let;lah
managed (function pointer calling convention);greglet
nameof;namevo
nint;entscheidendiganzzau
not;nid
notnull;nidnüt
nuint;entscheidendiunsigniertiganzzau
on;a
or;odr
orderby;gliderenach
partial (type);teilwiis
partial (method);teilwiis
record;iitrag
remove;entfärn
required;benötigt
scoped;iigränzt
select;wäu
set;setz
unmanaged (function pointer calling convention);ungreglet
unmanaged (generic type constraint);ungreglet
value;wärt
var;ändernd
when (filter condition);wenn
where (generic type constraint);wo
where (query clause);wo
with;mit
yield;ärnt
